,Case No.,Claimant(s),Respondent(s),Status,Link
351,ARB/13/29,Cementos La Union S.A. and Aridos Jativa S.L.U,Arab Republic of Egypt,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/13/29
352,ARB(AF)/13/2,"Cemusa - Corporación Europea de Mobiliario Urbano, S.A. and Corporación Americana de Equipamientos Urbanos, S.L.",United Mexican States,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/13/2
353,UNCT/13/2,"Aaron C.Berkowitz, Brett E. Berkowitz and Trevor B. Berkowitz",Republic of Costa Rica,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=UNCT/13/2
354,ARB/13/28,"Transglobal Green Energy, LLC and Transglobal Green Panama, S.A. ",Republic of Panama ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/13/28
355,ARB/13/27,"Marfin Investment Group Holdings S.A., Alexandros Bakatselos and others ",Republic of Cyprus,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/13/27
356,ARB/13/26,"Spentex Netherlands, B.V.",Republic of Uzbekistan,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/13/26
357,ARB/13/25,Tullow Uganda Operations Pty Ltd and Tullow Uganda Limited,Republic of Uganda,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/13/25
358,ARB/13/24,Republic of Peru,Caravelí Cotaruse Transmisora de Energía S.A.C.,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/13/24
359,ARB/13/23,ASA International S.p.A.,Arab Republic of Egypt,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/13/23
360,ARB/13/22,Erbil Serter,French Republic,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/13/22
361,ARB/13/21,Edenred S.A.,Hungary,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/13/21
362,ARB/13/20,Interocean Oil Development Company and Interocean Oil Exploration Company,Federal Republic of Nigeria,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/13/20
363,ARB/13/19,Güneş Tekstil Konfeksiyon Sanayi ve Ticaret Limited Şirketi and others,Republic of Uzbekistan,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/13/19
364,UNCT/13/1,"The Renco Group, Inc.",Republic of Peru,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=UNCT/13/1
365,ARB/13/18,Enel Green Power S.p.A.,Republic of El Salvador,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/13/18
366,ARB/13/17,EVN AG,Republic of Bulgaria ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/13/17
367,ARB/13/16,Société des Mines de Loulo S.A.,Republic of Mali,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/13/16
368,ARB/13/15,Lundin Tunisia B.V.,Republic of Tunisia ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/13/15
369,ARB/13/14,RSM Production Company,Republic of Cameroon,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/13/14
370,ARB/13/13,Caratube International Oil Company LLP and Devincci Salah Hourani,Republic of Kazakhstan,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/13/13
371,ARB/13/12,"Lieven J. van Riet, Chantal C. van Riet and Christopher van Riet",Republic of Croatia ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/13/12
372,ARB/13/11,"Valores Mundiales, S.L. and Consorcio Andino S.L.",Bolivarian Republic of Venezuela,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/13/11
373,ARB/13/10,"Impresa Grassetto S. p. A., in liquidation",Republic of Slovenia ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/13/10
374,ARB/13/9,Federal Elektrik Yatırım ve Ticaret A.Ş. and others,Republic of Uzbekistan,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/13/9
375,ARB/13/7,Joseph Houben,Republic of Burundi,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/13/7
376,ARB/13/8,"Poštová banka, a.s. and ISTROKAPITAL SE",Hellenic Republic,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/13/8
377,ARB/13/6,Vladislav Kim and others,Republic of Uzbekistan,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/13/6
378,ARB(AF)/13/1,Consolidated Exploration Holdings Ltd. and others,Kyrgyz Republic,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/13/1
379,ARB/13/5,Ossama Al Sharif ,Arab Republic of Egypt,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/13/5
380,ARB/13/4,Ossama Al Sharif,Arab Republic of Egypt ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/13/4
381,ARB/13/3,Ossama Al Sharif ,Arab Republic of Egypt ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/13/3
382,ARB/13/2,Cervin Investissements S.A. and Rhone Investissements S.A.,Republic of Costa Rica,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/13/2
383,ARB/13/1,Karkey Karadeniz Elektrik Uretim A.S.,Islamic Republic of Pakistan,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/13/1
384,ARB/12/40 and 12/14,"Churchill Mining Plc and Planet Mining Pty Ltd, formerly ARB/12/40",Republic of Indonesia,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/12/40 and 12/14
385,ARB/12/38,"Repsol, S.A. and Repsol Butano, S.A.",Argentine Republic,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/12/38
386,ARB/12/37,LSF-KEB Holdings SCA and others,Republic of Korea,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/12/37
387,ARB(AF)/12/8,MNSS B.V. and Recupero Credito Acciaio N.V.,Montenegro,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/12/8
388,ARB/12/36,Société Civile Immobilière de Gaëta,Republic of Guinea,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/12/36
389,ARB/12/35,Orascom TMT Investments S.à r.l.,People's Democratic Republic of Algeria,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/12/35
390,ARB(AF)/12/7,Mobile TeleSystems OJSC,Republic of Uzbekistan,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/12/7
391,ARB/12/34,Tullow Uganda Operations PTY LTD,Republic of Uganda,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/12/34
392,ARB/12/33,UAB E energija (Lithuania),Republic of Latvia,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/12/33
393,ARB/12/32,Gelsenwasser AG,People's Democratic Republic of Algeria,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/12/32
394,ARB/12/31,"Guardian Fiduciary Trust, Ltd, f/k/a Capital Conservator Savings & Loan, Ltd","Macedonia, former Yugoslav Republic of",Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/12/31
395,ARB/12/30,Lundin Tunisia B. V.,Republic of Tunisia ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/12/30
396,ARB/12/29,"Ping An Life Insurance Company of China, Limited and Ping An Insurance (Group) Company of China, Limited",Kingdom of Belgium,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/12/29
397,ARB(AF)/12/6,Lao Holdings N.V. ,Lao People’s Democratic Republic ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/12/6
398,ARB/12/28,Pluspetrol Perú Corporation and others,Perupetro S.A. ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/12/28
399,ARB/12/27,Bidzina Ivanishvili,Georgia,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/12/27
400,ARB/12/26,Sudapet Company Limited,Republic of South Sudan,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/12/26
