,Case No.,Claimant(s),Respondent(s),Status,Link
742,ARB/05/15,Waguih Elie George Siag and Clorinda Vecchi ,Arab Republic of Egypt ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/05/15
743,ARB/05/14,RSM Production Corporation ,Grenada ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/05/14
744,ARB/05/13,EDF (Services) Limited ,Romania,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/05/13
745,ARB/05/12,Noble Energy Inc. and MachalaPower Cía. Ltd.,Republic of Ecuador and Consejo Nacional de Electricidad,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/05/12
746,ARB/05/11,Asset Recovery Trust S.A. ,Argentine Republic ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/05/11
747,ARB/05/9,"Empresa Eléctrica del Ecuador, Inc. (EMELEC) ",Republic of Ecuador ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/05/9
748,ARB/05/7,Saipem S.p.A. ,People's Republic of Bangladesh,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/05/7
749,ARB/05/6,Bernardus Henricus Funnekotter and others ,Republic of Zimbabwe ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/05/6
750,ARB/05/5,"TSA Spectrum de Argentina, S.A. ",Argentine Republic ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/05/5
751,ARB/05/4,I&I Beheer B.V. ,Bolivarian Republic of Venezuela ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/05/4
752,ARB/05/3,"LESI, S.p.A. and Astaldi, S.p.A. ",People's Democratic Republic of Algeria,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/05/3
753,ARB/05/2,Compañía General de Electricidad S.A. and CGE Argentina S.A. ,Argentine Republic ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/05/2
754,ARB/05/1,Daimler Financial Services AG,Argentine Republic ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/05/1
755,ARB(AF)/04/6,Vannessa Ventures Ltd. ,Bolivarian Republic of Venezuela ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/04/6
756,ARB/04/19,Duke Energy Electroquil Partners and Electroquil S.A. ,Republic of Ecuador ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/04/19
757,ARB(AF)/04/5,"Archer Daniels Midland Company and Tate & Lyle Ingredients Americas, Inc.",United Mexican States ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/04/5
758,ARB(AF)/04/4,"Talsud, S.A. ",United Mexican States ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/04/4
759,ARB(AF)/04/3,"Gemplus, S.A., SLP, S.A. and Gemplus Industrial, S.A. de C.V. ",United Mexican States ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/04/3
760,ARB/04/16,Mobil Exploration and Development Argentina Inc. Suc. Argentina and Mobil Argentina S.A.,Argentine Republic,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/04/16
761,ARB/04/14,Wintershall Aktiengesellschaft ,Argentine Republic,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/04/14
762,ARB/04/13,Jan de Nul N.V. and Dredging International N.V. ,Arab Republic of Egypt ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/04/13
763,ARB/04/12,ABCI Investments Limited,Republic of Tunisia ,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/04/12
764,ARB/04/11,Russell Resources International Limited and others ,Democratic Republic of the Congo,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/04/11
765,ARB/04/9,CIT Group Inc. ,Argentine Republic,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/04/9
766,ARB/04/8,BP America Production Company and others ,Argentine Republic,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/04/8
767,ARB/04/6,OKO Pankki Oyj and others ,Republic of Estonia ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/04/6
768,ARB/04/5,Compagnie d'Exploitation du Chemin de Fer Transgabonais,Gabonese Republic ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/04/5
769,ARB/04/4,SAUR International ,Argentine Republic,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/04/4
770,ARB/04/1,Total S.A. ,Argentine Republic,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/04/1
771,ARB(AF)/04/1,"Corn Products International, Inc. ",United Mexican States ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB(AF)/04/1
772,ARB/03/30,Azurix Corp. ,Argentine Republic,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/03/30
773,ARB/03/29,Bayindir Insaat Turizm Ticaret Ve Sanayi A.S. ,Islamic Republic of Pakistan ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/03/29
774,ARB/03/28,Duke Energy International Peru Investments No. 1 Ltd. ,Republic of Peru ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/03/28
775,ARB/03/27,Unisys Corporation ,Argentine Republic,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/03/27
776,ARB/03/24,Plama Consortium Limited ,Republic of Bulgaria ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/03/24
777,ARB/03/23,"EDF International S.A., SAUR International S.A. and León Participaciones Argentinas S.A. ",Argentine Republic,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/03/23
778,ARB/03/22,Electricidad Argentina S.A. and EDF International S.A.,Argentine Republic,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/03/22
779,ARB/03/21,Enersis S.A. and others,Argentine Republic,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/03/21
780,ARB/03/20,Telefónica S.A,Argentine Republic,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/03/20
781,ARB/03/19,"Suez, Sociedad General de Aguas de Barcelona S.A. and Vivendi Universal S.A",Argentine Republic,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/03/19
782,ARB/03/17,"Suez, Sociedad General de Aguas de Barcelona S.A. and Interagua Servicios Integrales de Agua S.A.",Argentine Republic,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/03/17
783,ARB/03/15,El Paso Energy International Company ,Argentine Republic,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/03/15
784,ARB/03/14,Miminco LLC and others,Democratic Republic of the Congo,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/03/14
785,ARB/03/13,Pan American Energy LLC and BP Argentina Exploration Company ,Argentine Republic,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/03/13
786,ARB/03/10,"Gas Natural SDG, S.A. ",Argentine Republic,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/03/10
787,ARB/03/9,Continental Casualty Company ,Argentine Republic,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/03/9
788,ARB/03/5,Metalpar S.A. and Buen Aire S.A.,Argentine Republic,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/03/5
789,ARB/03/2,Camuzzi International S.A. ,Argentine Republic,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/03/2
790,ARB/02/17,AES Corporation ,Argentine Republic,Pending,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/02/17
791,ARB/02/16,Sempra Energy International ,Argentine Republic,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/02/16
792,ARB/02/8,Siemens A.G. ,Argentine Republic,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/02/8
793,ARB/02/6,SGS Société Générale de Surveillance S.A. ,Republic of the Philippines ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/02/6
794,ARB/01/12,Azurix Corp. ,Argentine Republic ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/01/12
795,ARB/01/8,CMS Gas Transmission Company ,Argentine Republic ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/01/8
796,ARB/01/3,"Enron Creditors Recovery Corporation (formerly Enron Corporation) and Ponderosa Assets, L.P. ",Argentine Republic ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/01/3
797,ARB/01/2,Antoine Goetz and others,Republic of Burundi ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/01/2
798,ARB/98/2,Victor Pey Casado and President Allende Foundation ,Republic of Chile ,Concluded,https://icsid.worldbank.org/cases/case-database/case-detail?CaseNo=ARB/98/2
